valuation per sqft	address	zone	sqft	valuation	link
91	55 DAY ST	MR4	23087	$2,095,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=189
91	71 BOW ST	MR5	10890	$991,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=939
92	222 BROADWAY	MR5	14810	$1,361,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1249
92	6 BEACH AVE	MR5	7405	$683,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1622
93	483 BROADWAY	MR4	871	$81,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=498
94	223 WASHINGTON ST	MR4	13504	$1,274,800	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1299
95	212 BROADWAY	MR5	13504	$1,282,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1415
95	525 BROADWAY	MR4	3049	$291,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=343
96	495 COLUMBIA ST	MR5	10890	$1,044,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1623
96	67 BROADWAY	MR4	12197	$1,174,600	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1676
97	337 BROADWAY	MR5	56628	$5,474,700	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=823
97	14 HORACE ST	MR4	13939	$1,355,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1649
98	137 WASHINGTON ST	MR4	18731	$1,836,300	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1525
98	712 MYSTIC AVE	MR4	4356	$427,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=625
99	91 WASHINGTON ST	MR4	5663	$558,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1748
99	182 BROADWAY	MR5	6970	$687,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1421
99	97 WASHINGTON ST	MR4	5663	$561,500	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1743
101	44 BROADWAY	MR6	13504	$1,364,000	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1689
102	103 WASHINGTON ST	MR4	5663	$580,100	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1728
103	73 WEBSTER AVE	MR4	10019	$1,027,200	https://gis.vgsi.com/somervillema/Parcel.aspx?Pid=1613
